,Date,Price
453,2016-03-29,189.5
454,2016-03-30,197.55
455,2016-03-31,194.25
456,2016-04-01,195.65
457,2016-04-02,195.65
458,2016-04-03,195.65
459,2016-04-04,194.7
460,2016-04-05,184.35
461,2016-04-06,183.85
462,2016-04-07,181.95
463,2016-04-08,183.1
464,2016-04-09,183.1
465,2016-04-10,183.1
466,2016-04-11,188.25
467,2016-04-12,187.8
468,2016-04-13,191.9
469,2016-04-14,191.9
470,2016-04-15,191.9
471,2016-04-16,191.9
472,2016-04-17,191.9
473,2016-04-18,186.75
474,2016-04-19,186.75
475,2016-04-20,187.3
476,2016-04-21,194.35
477,2016-04-22,200.15
478,2016-04-23,200.15
479,2016-04-24,200.15
480,2016-04-25,197.05
481,2016-04-26,200.95
482,2016-04-27,196.15
483,2016-04-28,192.05
484,2016-04-29,189.0
485,2016-04-30,189.0
486,2016-05-01,189.0
487,2016-05-02,186.0
488,2016-05-03,184.05
489,2016-05-04,179.95
490,2016-05-05,180.35
491,2016-05-06,184.35
492,2016-05-07,184.35
493,2016-05-08,184.35
494,2016-05-09,188.7
495,2016-05-10,189.5
496,2016-05-11,185.0
497,2016-05-12,188.5
498,2016-05-13,184.85
499,2016-05-14,184.85
500,2016-05-15,184.85
501,2016-05-16,176.8
502,2016-05-17,176.85
503,2016-05-18,179.95
504,2016-05-19,172.7
505,2016-05-20,171.35
506,2016-05-21,171.35
507,2016-05-22,171.35
508,2016-05-23,168.4
509,2016-05-24,169.5
510,2016-05-25,175.1
511,2016-05-26,184.15
512,2016-05-27,195.9
513,2016-05-28,195.9
514,2016-05-29,195.9
515,2016-05-30,198.85
516,2016-05-31,204.95
517,2016-06-01,198.25
518,2016-06-02,200.55
519,2016-06-03,196.6
520,2016-06-04,196.6
521,2016-06-05,196.6
522,2016-06-06,198.9
523,2016-06-07,210.15
524,2016-06-08,210.7
525,2016-06-09,209.95
526,2016-06-10,205.95
527,2016-06-11,205.95
528,2016-06-12,205.95
529,2016-06-13,201.8
530,2016-06-14,207.7
531,2016-06-15,216.05
532,2016-06-16,216.0
533,2016-06-17,213.45
534,2016-06-18,213.45
535,2016-06-19,213.45
536,2016-06-20,215.9
537,2016-06-21,214.0
538,2016-06-22,212.9
539,2016-06-23,217.55
540,2016-06-24,211.25
541,2016-06-25,211.25
542,2016-06-26,211.25
543,2016-06-27,217.15
544,2016-06-28,215.9
545,2016-06-29,217.2
546,2016-06-30,218.8
547,2016-07-01,219.6
548,2016-07-02,219.6
549,2016-07-03,219.6
550,2016-07-04,223.0
551,2016-07-05,223.5
552,2016-07-06,223.5
553,2016-07-07,220.05
554,2016-07-08,218.3
555,2016-07-09,218.3
556,2016-07-10,218.3
557,2016-07-11,224.7
558,2016-07-12,226.7
559,2016-07-13,227.7
560,2016-07-14,232.0
561,2016-07-15,231.5
562,2016-07-16,231.5
563,2016-07-17,231.5
564,2016-07-18,228.75
565,2016-07-19,229.6
566,2016-07-20,231.15
567,2016-07-21,225.65
568,2016-07-22,223.5
569,2016-07-23,223.5
570,2016-07-24,223.5
571,2016-07-25,229.9
572,2016-07-26,226.7
573,2016-07-27,229.25
574,2016-07-28,231.0
575,2016-07-29,229.4
576,2016-07-30,229.4
577,2016-07-31,229.4
578,2016-08-01,227.3
579,2016-08-02,228.05
580,2016-08-03,226.65
581,2016-08-04,225.65
582,2016-08-05,232.75
583,2016-08-06,232.75
584,2016-08-07,232.75
585,2016-08-08,233.25
586,2016-08-09,235.15
587,2016-08-10,231.5
588,2016-08-11,227.15
589,2016-08-12,243.3
590,2016-08-13,243.3
591,2016-08-14,243.3
592,2016-08-15,243.3
593,2016-08-16,246.75
594,2016-08-17,246.25
595,2016-08-18,248.4
596,2016-08-19,258.5
597,2016-08-20,258.5
598,2016-08-21,258.5
599,2016-08-22,254.8
600,2016-08-23,254.75
